year,date,saros,latitude,longitude,sun_alt,magnitude,central_duration
2185,2185-07-26,129,-67.87,-178.46,1.5,1.0370,02m27s
2582,2582-04-23,167,62.78,91.15,1.7,1.0462,02m17s
-891,-891-11-26,57,67.19,-89.55,1.8,1.0145,00m59s
1523,1523-08-11,108,62.67,-135.87,1.9,1.0558,02m44s
785,785-04-13,80,72.75,113.45,3.0,1.0317,01m40s
-1169,-1169-05-17,48,-67.09,-150.76,3.4,1.0601,03m46s
2373,2373-06-21,133,-62.67,-100.08,3.4,1.0191,01m24s
-1320,-1320-06-04,16,72.36,-18.00,4.2,1.0300,01m30s
-873,-873-12-07,57,63.53,125.29,4.3,1.0174,01m13s
1522,1522-03-27,131,62.01,127.73,4.3,1.0076,00m26s
1494,1494-03-07,102,71.26,-99.16,4.4,1.0368,02m06s
2734,2734-08-21,176,-59.40,89.83,4.9,1.0332,02m08s
-1179,-1179-05-07,19,-58.97,-138.65,4.9,1.0314,02m03s
-261,-261-12-21,47,-71.04,-56.49,5.0,1.0291,01m24s
